id,name,latitude,longitude,address,postal_code,NAME,MAIN MUNICIPALITY,MUNICIPALITY
7593,Meli Mêly,50.8554757,4.399549500000001,523 chaussée de Louvain,1030,Schaarbeek,SCHAARBEEK,SCHAARBEEK
7673,'t Misverstand,50.7945309,4.3346447,"Chaussée d'Alsemberg, 916",1180,Ukkel,UKKEL,UKKEL
7718,Mumbaï Dreams,50.7923458,4.352460499999999,Rue Basse 9,1180,Ukkel,UKKEL,UKKEL
7732,Gri Gri,50.792341,4.3518621,Rue Basse 16,1180,Ukkel,UKKEL,UKKEL
7941,Le Nénuphar,50.848879,4.433539789,Chaussée de Roodebeek 76,1200,Sint-Lambrechts-Woluwe,SINT-LAMBRECHTS-WOLUWE,SINT-LAMBRECHTS-WOLUWE
8321,Guignol,50.7930181,4.347961499999999,334 Chaussée de Saint-Job,1180,Ukkel,UKKEL,UKKEL
8334,Thai Smile,50.79488079999999,4.3648593,Chaussée de Saint-Job 674,1180,Ukkel,UKKEL,UKKEL
9265,Le Touareg Uccle,50.7945785,4.3641524,Avenue Jean et Pierre Carsoel 13,1180,Ukkel,UKKEL,UKKEL
12154,La Soeur du Patron Auderghem,50.8160754,4.4303707,Chaussée de Wavre 1700,1160,Oudergem,OUDERGEM,OUDERGEM
12388,Sushi Mart,50.8454218,4.4363192,Rue St Lambert 200,1200,Sint-Lambrechts-Woluwe,SINT-LAMBRECHTS-WOLUWE,SINT-LAMBRECHTS-WOLUWE
14395,Poseidon Brussels,50.8527986,4.3900757,Chaussée de Louvain 452,1030,Schaarbeek,SCHAARBEEK,SCHAARBEEK
14867,Burgerij Eilandje,51.2297707,4.4041945,Sint-Laureiskaai 8,2000,Antwerpen,ANTWERPEN,ANTWERPEN
14946,Bar Buenos Aires - Empanadas,51.22362649999999,4.403362100000001,Koepoortbrug 3,2000,Antwerpen,ANTWERPEN,ANTWERPEN
14962,Bia Mara,51.2209332,4.4002807,Maalderijstraat 1,2000,Antwerpen,ANTWERPEN,ANTWERPEN
15033,Lucy Chang Antwerpen,51.21048589999999,4.396961999999999,Marnixplaats 16,2000,Antwerpen,ANTWERPEN,ANTWERPEN
