restaurant_name,restaurant_id,city,categories,veg_category_count
pasta-pino,ONPO70QN,Kortrijk,No Vegetarian Categories,1
da-barone-et-fils,00N7P37N,Herstappe,No Vegetarian Categories,1
pizza-gustosa,O031NNN1,Herstappe,No Vegetarian Categories,1
la-brezza-nova-rocourt-1,R0P3NPQN,Herstappe,No Vegetarian Categories,1
la-storia-ans,R5R5QNQN,Herstappe,No Vegetarian Categories,1
pizza-hut-delivery-houthalen,0307RP11,Houthalen,No Vegetarian Categories,1
grillhouse-kusadasi,N05RN5O,Zutendaal,No Vegetarian Categories,1
litaliano-nieppe,RRO5PNQN,Heuvelland,No Vegetarian Categories,1
signature-burger-ixelles,OQ7N50QN,Linkebeek,No Vegetarian Categories,1
pizza-hut-delivery-ukkeluccle-2-st-job,QP5QP33,Linkebeek,No Vegetarian Categories,1
delices-de-mazagan,N7QONPO,Lembeek,No Vegetarian Categories,1
dominos-pizza-tubize,NNO75NQ,Lembeek,"Pizzas vegan,Vegan Pizza's",2
akira,NO555Q7,Lembeek,No Vegetarian Categories,1
pizzeria-taormina-virginal,O1730N01,Lembeek,No Vegetarian Categories,1
snack-de-la-gare-tubize,OPORR0QN,Lembeek,No Vegetarian Categories,1
butcher,010R1P5N,L'Écluse,No Vegetarian Categories,1
cooking4u,R1OQQ5QN,Maaseik,No Vegetarian Categories,1
indian-palace-nl,RQRQQ5QN,Maaseik,No Vegetarian Categories,1
snack-pita-bodrum-vise,0R1P7N11,Sint-Martens-Voeren,No Vegetarian Categories,1
sushi-chow,N7307O7,Moelingen,No Vegetarian Categories,1
shangri-la-oupeye,NOPR5OR,Sint-Martens-Voeren,No Vegetarian Categories,1
kero-tacos-1,NRO07O7,Moelingen,No Vegetarian Categories,1
napoli-heers,N70RO0Q,Mechelen-Bovelingen,No Vegetarian Categories,1
otacos-waremme,R070P1QN,Mechelen-Bovelingen,No Vegetarian Categories,1
la-plazza-waremme,R7PNRNQN,Mechelen-Bovelingen,No Vegetarian Categories,1
pizza-hut-delivery-beernem,RP1R1PQN,Oedelem,No Vegetarian Categories,1
oregano-brasschaat,OQQ5OQPN,Brasschaat,No Vegetarian Categories,1
side-kebap,OOP5N,Retie,No Vegetarian Categories,1
broodjeszaak-de-vrijheid,ROPPROQN,Arendonk,No Vegetarian Categories,1
asia-delice,5RO1113,Kraainem,No Vegetarian Categories,1
pizza-hut-delivery-vilvoorde-1,O1ONN011,Vilvoorde,No Vegetarian Categories,1
snack-opwijk,5PRR05N,Merchtem,No Vegetarian Categories,1
kfc-wijnegem,0PN01Q5N,Wommelgem,No Vegetarian Categories,1
lla-famiglia,R5P53OQN,Opglabbeek,No Vegetarian Categories,1
pyramide-hamont,3P5P7R7N,Achel,No Vegetarian Categories,1
anatolia-23-1,531QO03,Achel,No Vegetarian Categories,1
la-brochette-du-chalet,013R7N11,Zellik,No Vegetarian Categories,1
xin-yuan,370R53,Zellik,No Vegetarian Categories,1
chez-giovanni,37Q7PQ7N,Groot-Bijgaarden,No Vegetarian Categories,1
hau-wang-uccle,3P3O10QN,Groot-Bijgaarden,No Vegetarian Categories,1
chef-kebab-1,3QNQ0R7N,Groot-Bijgaarden,No Vegetarian Categories,1
dominos-pizza-jette-1,N31PQRO,Groot-Bijgaarden,"Pizzas vegan,Vegan Pizza's",2
dominos-pizza-berchem-sainte-agathe,O05OO001,Groot-Bijgaarden,"Pizzas vegan,Vegan Pizza's",2
woodiz-basilique,O5100RPN,Zellik,No Vegetarian Categories,1
i-love-pizza,ONRR7NR,Zellik,No Vegetarian Categories,1
o-delices-du-basilix,ORO030QN,Groot-Bijgaarden,No Vegetarian Categories,1
sushiria-jette,Q1RN7QO,Groot-Bijgaarden,No Vegetarian Categories,1
librairie-koekelberg-iii,R0377PQN,Groot-Bijgaarden,No Vegetarian Categories,1
factory-buns,R0NOOOQN,Groot-Bijgaarden,No Vegetarian Categories,1
librairie-koekelberg-ii,R1N77PQN,Groot-Bijgaarden,No Vegetarian Categories,1
