restaurant_id,postal_code,restaurant_name,restaurant_address,dish_name,category,MAIN MUNICIPALITY
487742,2640,Pita Cleopatra,102 Antwerpsestraat,Kaascroque,Vegetarisch,MORTSEL
487742,2640,Pita Cleopatra,102 Antwerpsestraat,Athene,Vegetarisch,MORTSEL
487742,2640,Pita Cleopatra,102 Antwerpsestraat,Venetië,Vegetarisch,MORTSEL
487742,2640,Pita Cleopatra,102 Antwerpsestraat,Houmous,Vegetarisch,MORTSEL
487742,2640,Pita Cleopatra,102 Antwerpsestraat,Falafel met fetakaas,Vegetarisch,MORTSEL
358421,3000,McDonald's Bondgenotenlaan,86 Bondgenotenlaan,Red Devils Veggie McMenu®,Veggie,LEUVEN
358421,3000,McDonald's Bondgenotenlaan,86 Bondgenotenlaan,McVeggie McMenu®,Veggie,LEUVEN
358421,3000,McDonald's Bondgenotenlaan,86 Bondgenotenlaan,Veggie Deluxe McMenu®,Veggie,LEUVEN
245773,9000,Taste of india GNT,Donkersteeg 11,Saag Paneer with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
245773,9000,Taste of india GNT,Donkersteeg 11,Dal Tarka with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
245773,9000,Taste of india GNT,Donkersteeg 11,Vegetarisch Makhanvale with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
245773,9000,Taste of india GNT,Donkersteeg 11,Vegetarisch Handi with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
245773,9000,Taste of india GNT,Donkersteeg 11,Chana Masala with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
245773,9000,Taste of india GNT,Donkersteeg 11,Aloo Gobhi with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
245773,9000,Taste of india GNT,Donkersteeg 11,Vegetarisch Karahi with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
245773,9000,Taste of india GNT,Donkersteeg 11,SHAHI PANEER with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
245773,9000,Taste of india GNT,Donkersteeg 11,Paneer Vindaloo with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
245773,9000,Taste of india GNT,Donkersteeg 11,Matter Paneer  with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
245773,9000,Taste of india GNT,Donkersteeg 11,Paneer Tikka Masala  with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
245773,9000,Taste of india GNT,Donkersteeg 11,Mushroom Bhaji  with rice,VEGETARISCHE   HOOFDGERECHTEN,GENT
97348,3000,Sushi Hungry Eye,Naamsestraat 28,Vegetarische Combo - 1 persoon (23 stuks),Vegetarian combo,LEUVEN
511410,2140,Frituur 't Katje Antwerpen centrum,82A Kattenberg,Kaaskroket,Vegi Snacks,ANTWERPEN
511410,2140,Frituur 't Katje Antwerpen centrum,82A Kattenberg,Kaassoufflé,Vegi Snacks,ANTWERPEN
511410,2140,Frituur 't Katje Antwerpen centrum,82A Kattenberg,Chili Cheese Nuggets,Vegi Snacks,ANTWERPEN
511410,2140,Frituur 't Katje Antwerpen centrum,82A Kattenberg,Loempia's Vegi,Vegi Snacks,ANTWERPEN
511410,2140,Frituur 't Katje Antwerpen centrum,82A Kattenberg,Mini Loempia (5 stuks),Vegi Snacks,ANTWERPEN
450054,2060,EL BARAKA antwerp,lange beeldekensstraat 294,Tortilla,Vegan,ANTWERPEN
